id_sprzedaz,id_restauracji,id_pracownika,id_dania,data
1,86,1000,208,28/09/2021
2,22,656,18,26/02/2020
3,76,955,174,15/12/2021
4,46,474,39,31/10/2020
5,99,755,110,03/11/2022
6,97,622,75,15/07/2022
7,86,974,180,10/05/2022
8,24,423,180,17/04/2022
9,54,222,253,17/06/2022
10,4,590,204,10/09/2020
11,6,252,288,07/09/2020
12,1,966,238,11/07/2021
13,16,158,259,19/02/2021
14,2,552,76,16/04/2020
15,79,324,143,12/04/2021
16,94,300,167,12/02/2021
17,82,268,260,27/08/2022
18,80,460,195,26/01/2020
19,46,221,12,25/12/2021
20,42,580,122,13/11/2022
21,55,683,294,19/07/2021
22,69,821,268,06/12/2020
23,83,810,117,21/10/2021
24,70,468,194,05/07/2022
25,42,929,34,17/11/2020
26,74,629,209,09/11/2022
27,94,938,227,18/10/2020
28,89,649,249,30/04/2020
29,39,226,1,08/01/2020
30,32,289,36,06/10/2020
31,51,638,102,15/09/2020
32,18,186,233,26/11/2022
33,100,546,294,06/03/2022
34,26,454,111,11/10/2021
35,53,981,111,23/10/2021
36,4,869,249,28/03/2022
37,98,412,23,03/02/2021
38,73,533,6,23/05/2022
39,48,306,285,20/04/2021
40,97,967,273,09/01/2022
41,23,538,122,13/10/2020
42,26,884,280,02/06/2022
43,94,733,277,18/12/2021
44,35,617,61,09/02/2020
45,20,835,259,19/03/2021
46,71,493,173,08/04/2020
47,55,256,244,27/11/2022
48,36,889,13,09/08/2021
49,47,860,224,25/11/2020
50,48,930,13,14/02/2020
51,55,577,82,28/11/2021
52,93,308,171,02/05/2021
53,95,266,156,30/04/2021
54,3,382,143,10/08/2021
55,83,996,141,07/08/2020
56,61,411,122,08/04/2021
57,54,250,184,29/06/2020
58,30,173,294,12/03/2022
59,5,380,207,26/09/2021
60,33,190,78,02/03/2022
61,76,339,52,08/08/2021
62,29,960,68,11/05/2022
63,45,595,194,21/03/2021
64,82,434,299,12/02/2021
65,64,772,195,25/10/2021
66,6,823,89,24/01/2022
67,57,880,54,18/10/2020
68,90,224,24,08/08/2020
69,26,546,143,26/10/2021
70,28,771,38,07/12/2022
71,89,165,167,11/11/2020
72,93,235,245,10/12/2022
73,39,851,93,14/07/2021
74,5,423,27,17/10/2022
75,10,916,11,02/11/2021
76,88,613,281,19/09/2022
77,97,253,2,27/07/2021
78,43,215,283,16/09/2022
79,82,628,106,23/01/2021
80,14,535,131,25/06/2020
81,57,793,30,06/08/2022
82,56,954,90,27/05/2020
83,65,147,88,23/04/2022
84,34,169,162,28/05/2021
85,79,451,141,13/12/2021
86,67,889,81,18/04/2020
87,83,945,25,25/05/2022
88,98,819,218,15/12/2021
89,2,279,258,27/04/2021
90,74,940,221,03/12/2022
91,19,760,14,14/03/2021
92,51,253,208,01/03/2020
93,16,730,24,04/12/2020
94,70,870,281,21/07/2020
95,70,450,212,04/09/2021
96,88,914,261,21/10/2022
97,76,208,22,16/05/2022
98,10,175,222,21/05/2020
99,71,188,263,05/09/2020
100,23,731,270,09/05/2021
101,56,967,158,22/04/2021
102,55,634,291,28/03/2021
103,98,427,299,17/12/2021
104,69,674,22,23/06/2020
105,34,845,71,17/02/2020
106,87,427,198,25/02/2021
107,57,592,238,17/07/2022
108,47,404,84,31/01/2020
109,14,216,118,02/02/2020
110,90,910,283,13/08/2021
111,96,262,135,26/08/2021
112,81,455,146,04/08/2020
113,93,482,231,31/10/2022
114,70,365,174,09/05/2022
115,18,889,122,12/09/2022
116,24,828,5,29/10/2021
117,37,972,289,17/07/2020
118,49,725,226,06/04/2021
119,37,925,150,31/08/2020
120,74,971,92,15/09/2022
121,66,757,26,10/05/2020
122,29,315,285,22/09/2021
123,66,959,99,23/02/2021
124,29,622,254,09/05/2020
125,12,583,226,03/09/2021
126,73,589,27,13/05/2020
127,45,379,190,19/09/2020
128,8,478,32,04/03/2022
129,28,911,211,27/08/2022
130,89,891,25,03/07/2021
131,94,582,291,10/11/2022
132,38,230,99,27/11/2021
133,62,747,77,29/07/2021
134,20,576,69,24/09/2022
135,11,970,65,12/12/2020
136,63,353,228,13/03/2020
137,10,460,164,29/07/2020
138,94,368,193,20/09/2021
139,57,795,54,31/10/2020
140,15,377,258,21/06/2020
141,1,962,196,26/09/2020
142,66,419,262,19/05/2020
143,34,941,50,21/12/2020
144,79,233,183,21/03/2021
145,77,719,254,16/07/2021
146,10,195,183,27/05/2022
147,7,986,150,22/01/2020
148,73,863,204,18/01/2021
149,69,428,168,01/12/2020
150,89,380,31,21/09/2022
151,23,852,221,14/08/2020
152,50,248,213,20/02/2022
153,37,163,82,03/02/2020
154,53,756,102,13/11/2021
155,68,703,270,08/04/2021
