id_ulicy,nazwa_ulicy
1,ulica_1
2,ulica_2
3,ulica_3
4,ulica_4
5,ulica_5
6,ulica_6
7,ulica_7
8,ulica_8
9,ulica_9
10,ulica_10
11,ulica_11
12,ulica_12
13,ulica_13
14,ulica_14
15,ulica_15
16,ulica_16
17,ulica_17
18,ulica_18
19,ulica_19
20,ulica_20
21,ulica_21
22,ulica_22
23,ulica_23
24,ulica_24
25,ulica_25
26,ulica_26
27,ulica_27
28,ulica_28
29,ulica_29
30,ulica_30
31,ulica_31
32,ulica_32
33,ulica_33
34,ulica_34
35,ulica_35
36,ulica_36
37,ulica_37
38,ulica_38
39,ulica_39
40,ulica_40
41,ulica_41
42,ulica_42
43,ulica_43
44,ulica_44
45,ulica_45
46,ulica_46
47,ulica_47
48,ulica_48
49,ulica_49
50,ulica_50
51,ulica_51
52,ulica_52
53,ulica_53
54,ulica_54
55,ulica_55
56,ulica_56
57,ulica_57
58,ulica_58
59,ulica_59
60,ulica_60
61,ulica_61
62,ulica_62
63,ulica_63
64,ulica_64
65,ulica_65
66,ulica_66
67,ulica_67
68,ulica_68
69,ulica_69
70,ulica_70
71,ulica_71
72,ulica_72
73,ulica_73
74,ulica_74
75,ulica_75
76,ulica_76
77,ulica_77
78,ulica_78
79,ulica_79
80,ulica_80
81,ulica_81
82,ulica_82
83,ulica_83
84,ulica_84
85,ulica_85
86,ulica_86
87,ulica_87
88,ulica_88
89,ulica_89
90,ulica_90
91,ulica_91
92,ulica_92
93,ulica_93
94,ulica_94
95,ulica_95
96,ulica_96
97,ulica_97
98,ulica_98
99,ulica_99
100,ulica_100
101,ulica_101
102,ulica_102
103,ulica_103
104,ulica_104
105,ulica_105
106,ulica_106
107,ulica_107
108,ulica_108
109,ulica_109
110,ulica_110
111,ulica_111
112,ulica_112
113,ulica_113
114,ulica_114
115,ulica_115
116,ulica_116
117,ulica_117
118,ulica_118
119,ulica_119
120,ulica_120
121,ulica_121
122,ulica_122
123,ulica_123
124,ulica_124
125,ulica_125
126,ulica_126
127,ulica_127
128,ulica_128
129,ulica_129
130,ulica_130
131,ulica_131
132,ulica_132
133,ulica_133
134,ulica_134
135,ulica_135
136,ulica_136
137,ulica_137
138,ulica_138
139,ulica_139
140,ulica_140
141,ulica_141
142,ulica_142
143,ulica_143
144,ulica_144
145,ulica_145
146,ulica_146
147,ulica_147
148,ulica_148
149,ulica_149
150,ulica_150
151,ulica_151
152,ulica_152
153,ulica_153
154,ulica_154
155,ulica_155
156,ulica_156
157,ulica_157
158,ulica_158
159,ulica_159
160,ulica_160
161,ulica_161
162,ulica_162
163,ulica_163
164,ulica_164
165,ulica_165
166,ulica_166
167,ulica_167
168,ulica_168
169,ulica_169
170,ulica_170
171,ulica_171
172,ulica_172
173,ulica_173
174,ulica_174
175,ulica_175
176,ulica_176
